BC AE 6B 57 3E 39 36 30 2A 26 1C 1A 16 14 15 15 15 17 1A 1C 24 29 35 3B 3E 40 51 5C 8E A3 C5 BF 82 74 4B 44 3A 37 33 30 26 24 1C 1A 16 15 15 14 14 14 16 16 1C 1C 26 2A 35 38 3A 3D 3E 46 6B 7B B3 C0 AA 99 65 58 42 3E 36 35 32 33 2C 2A 20 1E 1A 18 17 15 14 14 14 14 15 13 15 17 1A 1C 22 25 2F 32 3B 39 3D 3C 40 43 55 60 8F 9D CB CD CA BB 88 7E 57 50 41 3F 37 37 35 37 33 31 2E 2C 26 22 1F 1C 19 17 15 17 15 15 12 14 13 13 13 14 14 14 17 15 17 17 1C 1B 1F 21 25 27 2D 2E 33 33 34 32 36 36 36 37 3A 3A 42 43 4F 52 62 6A 84 90 A3 AC B8 B3 B6 B6 A8 A3 8D 87 73 6D 5A 55 4A 48 40 3E 37 37 34 34 31 31 30 2F 2E 2E 30 31 2C 2D 2C 2A 2B 2A 2C 2A 29 29 28 27 26 24 25 24 23 21 22 1F 1F 1F 1F 1D 1D 1B 1C 1B 1A 19 19 18 18 17 17 16 17 16 16 15 16 16 14 14 15 14 15 15 15 13 15 14 15 15 15 15 14 15 16 15 15 14 15 15 17 16 17 16 17 17 18 17 18 18 18 19 19 1A 1B 1C 1B 1B 1D 1C 1E 1D 1F 1E 1E 1F 1D 1D 1D 1D 1C 1D 1D 1E 1C 1D 1B 1B 1C 1B 1C 1B 1B 1C 1C 1C 1F 1D 1E 1F 22 23 23 23 24 24 23 24 23 21 1E 1C 1A 18 14 13 12 10 10 0F 0F 0D 0F 0D 0D 0E 0D 0D 0D 0C 0C 0C 0B 0B 0B 0A 09 09 0A 08 08 08 09 08 09 08 08 07 08 08 08 07 07 07 08 07 08 07 08 07 08 07 08 08 08 08 08 08 08 08 09 08 08 09 08 08 0A 08 08 08 09 09 09 07 08 08 08 08 09 08 08 08 08 08 08 08 08 07 07 07 07 07 08 07 08 07 07 07 07 07 07 07 07 07 07 07 08 07 07 07 07 08 08 07 08 07 07 07 08 08 07 07 07 07 08 07 07 07 07 06 07 06 07 07 06 06 07 06 07 06 07 06 06 06 08 06 07 07 07 07 07 07 07 07 07 07 07 06 07 06 07 07 07 06 08 06 06 07 06 06 07 07 07 06 07 06 07 07 06 06 07 07 07 07 07 06 07 06 07 07 07 07 06 07 08 07 07 07 07 06 07 07 07 06 07 06 07 06 07 07 07 07 07 06 07 06 08 07 06 07 07 06 07 07 07 06 07 06 07 06 07 07 07 06 07 07 07 06 06 06 07 07 07 07 07 07 07 07 07 06 08 07 07 07 07 07 07 07 07 07 07 07 07 07 07 06 07 06 07 07 07 07 07 07 07 07 07 06 07 07 07 07 07 06 07 06 08 07 07 07 07 07 07 07 07 06 07 06 07 06 07 07 07 06 07 06 07 06 07 06 07 06 
97 7D 4B 41 35 35 30 2B 23 1F 18 18 16 14 16 16 19 19 21 22 2F 35 3B 3C 42 48 71 7F B3 BE A5 8F 58 51 40 3C 36 34 2E 28 20 1E 17 17 15 16 16 15 16 17 1A 1B 24 25 30 34 39 3A 3E 41 5D 67 9E AE BA AC 73 68 48 43 39 37 34 34 31 2C 24 1F 1B 18 17 16 17 15 15 14 15 15 16 17 1B 1B 22 23 2D 33 39 3D 3D 3A 40 42 55 5B 8B 9B D0 D6 CF BF 8F 7D 59 51 43 41 3A 38 35 35 33 31 2D 29 25 21 1E 1B 19 16 16 16 14 14 15 14 14 14 14 15 15 15 17 17 18 19 1C 1F 23 24 29 2A 31 30 35 37 37 34 37 39 38 37 40 3F 49 4E 60 65 7B 87 9C A6 B3 B4 B9 B7 B0 A4 92 8A 73 6B 5C 54 47 43 3E 39 38 37 35 33 32 32 30 30 2E 2D 2F 2E 2D 2C 2B 2C 2B 2B 29 28 29 28 27 25 25 24 22 20 1F 1E 1D 1E 1C 1B 1A 19 18 19 18 17 17 17 16 15 15 14 16 15 15 15 15 15 14 13 14 13 13 13 13 13 14 12 14 13 13 12 13 11 13 13 13 12 14 12 12 12 13 11 13 12 13 13 13 14 13 13 14 12 13 13 14 13 14 15 15 15 15 14 17 16 17 17 1A 1A 1B 1A 1C 1A 1C 1C 1C 1D 1C 1B 1B 1B 1B 1B 1A 1B 1C 1B 1A 1A 1A 19 1A 1A 1A 19 1B 19 1B 1B 1D 1B 1D 1D 1F 1E 1E 1D 1D 1B 19 19 15 14 12 11 10 0E 0F 0E 0F 0D 0E 0D 0E 0D 0D 0C 0D 0C 0D 0A 0C 0A 0A 0A 0A 09 09 09 09 09 09 08 09 08 0A 08 08 08 08 07 09 08 08 08 08 07 09 08 09 08 09 08 09 09 09 08 09 08 09 09 08 08 09 09 0A 08 09 09 0A 08 09 08 09 09 09 08 09 09 08 08 09 08 08 08 08 08 09 07 08 08 08 08 07 08 07 07 08 07 07 08 08 08 08 08 08 07 08 08 08 07 08 07 08 08 08 07 08 07 07 08 07 07 08 07 07 06 07 07 08 08 07 07 07 07 07 08 07 07 08 07 07 07 08 07 08 07 08 08 07 08 07 08 07 07 08 07 08 07 08 07 08 07 08 07 07 07 08 06 07 07 07 07 07 07 08 07 08 08 07 07 07 07 07 08 08 07 07 07 07 07 07 07 07 07 07 07 08 07 07 07 07 07 07 07 07 07 08 07 08 07 07 07 07 07 07 07 08 08 08 08 09 08 08 07 08 07 07 07 08 06 08 06 07 07 07 07 07 07 08 07 08 07 08 07 08 07 07 07 07 07 07 07 08 07 08 08 08 07 08 07 08 07 08 07 07 07 07 07 07 07 08 07 08 07 08 07 08 07 08 07 07 07 08 07 08 08 08 07 08 07 08 07 07 07 08 07 07 06 08 08 08 08 08 07 08 07 
7F 6A 43 3F 33 34 2B 2B 1E 1C 17 15 15 14 15 15 19 1B 21 25 34 36 3F 3F 4B 52 85 98 BE C3 91 7B 4C 49 3A 38 32 31 29 25 1C 1B 17 16 15 15 14 14 16 17 1A 1E 25 2B 36 39 3A 3A 41 47 70 80 B3 BC AA 99 64 56 42 40 37 38 33 33 2C 28 21 1E 18 16 15 16 15 13 14 14 15 16 17 18 1C 1E 25 29 31 33 37 3B 3B 3F 45 48 66 73 A0 B2 D3 DC B7 A0 70 66 4D 49 3A 3B 38 35 35 33 2F 2E 2A 27 22 1E 1B 19 16 16 16 13 14 15 13 13 14 14 14 14 15 15 17 18 19 1B 1E 20 25 25 2D 2D 33 35 36 35 37 36 39 38 39 3B 44 49 58 5E 74 7B 95 A0 AF B6 BA B8 AE AF 92 8C 72 6C 5A 55 48 44 40 3C 36 36 33 34 32 32 31 30 30 2F 2D 2F 2C 2D 2D 2C 29 28 26 27 26 26 24 24 23 21 1E 1D 1D 1C 1B 1B 1A 19 17 18 17 16 15 16 15 15 14 15 14 15 14 14 13 14 12 13 13 13 14 13 12 13 11 13 12 12 12 13 13 12 12 12 12 13 12 12 11 11 12 11 12 10 12 11 12 12 13 12 12 11 12 12 12 11 12 12 13 13 14 12 13 12 14 14 14 15 16 15 16 17 18 18 19 19 19 1A 1A 1B 1A 1B 1A 1A 1A 1A 1A 1A 19 1A 19 19 18 19 19 19 17 18 1A 19 19 18 19 1A 1A 1A 1C 19 1D 1C 1C 1B 1A 18 17 15 14 13 10 0E 10 0E 0E 0E 0D 0D 0D 0C 0C 0C 0C 0C 0C 0C 0B 0B 0A 09 09 09 09 09 09 08 08 07 08 08 08 08 08 07 08 07 09 07 08 07 08 07 08 07 08 08 08 09 09 09 08 08 08 08 08 08 08 08 09 09 09 08 09 08 09 08 08 08 08 08 08 08 08 08 08 08 07 08 08 07 07 07 08 07 08 07 07 07 07 07 07 07 08 07 07 07 07 06 07 07 07 07 08 07 07 07 07 07 08 07 07 07 08 07 07 07 07 07 06 07 07 07 07 06 07 07 07 07 07 06 07 06 07 06 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 06 08 07 07 07 07 07 07 06 07 06 07 06 06 07 06 06 07 06 07 06 07 06 07 07 07 07 07 07 07 07 07 06 06 07 07 06 06 07 06 07 07 06 07 07 07 06 07 06 06 07 07 06 07 07 06 07 08 08 07 06 07 06 07 06 07 06 07 06 07 07 07 06 07 06 07 06 07 07 07 07 07 06 07 06 07 06 06 06 07 06 07 06 07 07 07 06 07 07 08 07 07 07 07 07 07 07 07 07 07 06 08 07 08 07 07 07 07 07 07 07 08 06 07 07 07 06 07 07 07 07 08 06 07 06 07 07 06 06 07 06 07 07 07 07 07 07 07 06 
57 4D 39 35 33 2D 26 20 1A 17 16 14 15 15 18 18 1D 21 2B 2E 3A 3B 41 44 65 72 AC BB B1 95 63 54 40 3B 35 34 2F 2B 21 1E 19 17 15 14 14 15 16 16 19 1A 22 24 33 36 39 39 3E 41 5B 6B A0 B0 BE AA 79 67 49 42 38 34 33 33 2F 2A 24 21 1B 1A 16 15 14 14 15 13 14 15 17 17 1B 1C 23 28 31 35 3A 3C 3C 3C 41 44 61 6E A0 B2 D6 D3 B5 A7 79 69 4F 48 3F 38 38 36 34 31 30 30 29 28 21 20 1B 18 17 17 15 15 15 14 14 13 13 13 14 15 15 15 18 18 1C 1D 21 21 28 2A 2F 31 35 34 35 36 34 35 3B 3B 41 3F 4E 50 66 6C 89 8D A9 AE BF BE B6 B1 98 8F 79 75 5A 54 4B 44 40 3C 38 33 37 34 32 30 32 30 31 30 2D 2C 2D 2B 2D 2A 2B 28 2A 27 24 24 21 20 1F 1E 1D 1B 1B 19 18 17 16 16 16 14 15 15 14 14 14 14 14 14 13 12 14 13 13 13 12 12 13 12 13 13 12 13 12 11 12 10 11 11 12 11 12 12 12 12 11 11 11 11 11 12 11 10 12 12 13 11 11 10 11 11 11 10 12 0F 11 11 11 10 12 10 11 12 12 11 12 11 12 11 12 11 12 11 11 11 13 13 15 13 15 14 16 16 16 16 18 17 19 17 19 18 1A 19 19 18 18 18 19 17 17 16 16 17 17 16 17 15 16 17 16 16 17 16 18 19 18 18 18 18 16 16 14 13 11 10 0E 0E 0D 0D 0D 0C 0E 0D 0C 0C 0C 0C 0C 0B 0C 0B 0B 09 0A 09 09 09 09 08 09 08 08 08 09 08 08 08 08 07 08 08 08 07 08 08 08 08 08 09 09 08 09 08 09 08 09 08 08 08 0A 08 08 09 08 09 0A 08 09 09 09 0A 09 08 09 08 08 08 08 08 08 08 08 08 08 07 08 07 08 07 08 07 07 07 08 07 08 07 07 07 08 07 08 07 08 07 08 08 08 07 08 06 08 07 08 07 07 07 08 07 08 08 07 07 07 07 08 06 07 07 07 06 07 07 07 06 07 07 08 07 08 07 07 06 07 07 07 07 08 07 08 07 08 07 07 06 08 07 08 07 07 07 07 07 07 06 07 07 08 07 08 07 07 06 07 07 07 07 07 07 08 07 07 07 07 07 08 06 07 06 07 07 07 07 07 07 07 06 08 06 07 06 07 06 08 07 08 07 07 07 07 06 07 06 07 07 07 07 07 06 07 06 07 07 08 06 07 07 07 07 08 07 08 07 07 07 07 07 08 07 07 07 08 07 07 06 07 07 08 07 07 07 07 07 08 07 07 07 08 07 08 08 08 07 07 07 08 08 08 07 08 06 08 07 07 07 07 07 07 06 07 07 08 08 07 07 07 07 07 07 07 06 07 06 08 07 08 06 08 07 08 07 08 07 
49 41 39 36 30 2B 21 1D 18 17 15 14 15 15 18 18 20 22 2F 35 3C 3D 47 4E 79 87 B9 C2 96 82 55 4C 3B 3A 34 33 29 26 1F 1B 1A 17 14 14 14 14 17 17 1A 1D 26 2A 34 34 3A 3D 3F 46 6D 80 B3 BD AD 9A 62 54 40 3C 38 35 33 30 29 29 1F 1C 18 17 16 14 13 14 14 14 15 15 18 18 1D 1F 28 2C 36 38 3A 3B 3E 3E 4C 51 76 82 BA C6 D8 C6 9F 8B 61 5A 42 41 37 39 35 37 33 31 2E 2C 24 21 1E 1B 18 17 15 16 15 14 13 13 14 14 14 13 15 14 16 17 19 1A 1D 1F 24 27 2D 2F 33 34 35 35 35 36 37 39 3A 3E 46 4D 5E 66 7D 88 9E A5 B5 B5 B5 B5 A1 9E 80 76 60 5C 48 44 42 3C 38 39 33 33 33 31 30 32 2E 2F 2F 2E 2C 2C 2A 2A 29 2A 27 27 25 24 21 20 1F 1D 1C 19 1A 1A 18 19 16 17 15 15 15 14 15 14 13 14 14 13 12 12 12 13 14 12 12 11 12 11 11 12 12 12 13 11 12 11 12 11 11 12 11 11 10 11 10 11 12 11 11 11 11 12 11 10 11 11 11 10 11 11 10 11 10 10 11 10 11 0F 11 11 11 11 10 10 10 11 11 10 11 11 11 11 11 10 11 11 11 11 12 11 12 12 14 13 13 15 15 15 16 16 17 17 17 17 19 18 18 17 18 17 17 16 16 17 16 16 15 15 15 15 14 14 14 15 14 14 17 15 17 17 16 15 14 13 12 10 0F 0F 0E 0D 0D 0D 0D 0C 0C 0D 0C 0B 0D 0C 0C 0B 0B 0A 0A 0A 08 09 08 09 09 07 08 07 08 07 08 08 08 08 07 08 08 07 08 07 07 07 08 08 08 08 08 08 08 08 09 08 08 07 08 08 08 08 08 08 08 08 08 08 08 08 09 09 09 07 09 08 08 08 07 08 08 08 08 07 07 08 07 08 07 07 07 06 07 07 07 06 07 06 07 07 08 07 07 07 07 07 07 07 08 08 08 07 07 07 08 07 08 07 08 07 07 06 07 06 08 06 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 06 07 07 07 07 07 07 07 06 07 06 07 07 07 06 07 07 07 07 07 07 07 06 07 06 06 07 07 07 07 07 07 07 06 07 07 06 07 06 06 07 07 07 07 06 07 06 06 06 07 07 07 07 07 06 07 06 07 06 07 07 08 06 07 06 07 06 07 06 06 06 07 07 07 07 07 06 07 07 07 07 07 07 07 07 08 07 07 07 07 06 07 06 07 07 07 06 07 07 08 06 07 07 07 06 07 07 08 07 07 07 07 07 07 07 06 07 06 07 08 07 07 07 07 06 07 07 08 07 07 07 07 07 07 06 07 06 07 06 07 07 08 07 08 06 07 06 07 07 
3B 39 35 32 29 24 1B 1A 17 16 16 15 16 16 1C 1C 28 2D 39 3B 40 42 59 68 A2 B1 B7 A9 69 5C 45 40 36 35 31 2C 23 1D 19 19 16 15 16 15 16 16 1A 1B 22 26 32 35 39 3A 3F 43 5C 6F 9E B2 B9 A7 74 65 46 41 3A 35 36 34 2E 2A 22 1F 1A 19 17 15 16 15 15 14 16 15 17 18 1D 1F 28 29 36 38 3A 3B 3B 3D 4B 4D 6F 82 B9 C8 D9 D1 9E 89 68 5C 46 44 3B 38 36 36 35 33 2F 2B 25 22 1D 1C 19 18 16 16 14 14 14 13 14 14 15 15 15 16 18 18 1B 1C 20 22 26 2A 30 31 37 36 37 34 37 37 3A 3A 41 44 50 53 71 76 94 9A B1 BB B8 B9 AB A6 8A 82 6B 62 51 4B 41 40 3B 37 36 33 33 32 31 2E 31 2D 2E 2E 2F 2D 2C 2A 2B 28 24 25 20 21 20 1D 1D 1C 1B 1A 19 16 16 16 17 15 14 14 14 13 13 13 13 13 13 13 13 12 13 13 13 12 13 12 12 12 12 11 13 12 13 11 13 12 12 11 12 11 13 12 12 12 12 11 12 12 12 12 12 11 12 11 11 11 12 11 12 11 11 10 12 10 12 11 12 11 12 11 10 0F 11 11 11 10 10 0F 10 0F 10 10 11 10 10 0F 11 10 10 10 10 10 10 10 11 0F 11 11 11 11 12 12 13 13 14 13 14 15 16 15 18 16 17 16 17 16 16 16 16 14 15 13 14 14 14 14 13 13 12 12 13 13 13 13 14 13 14 14 14 13 13 12 0F 0F 0F 0E 0D 0C 0D 0B 0D 0B 0C 0B 0C 0B 0C 0B 0B 0A 0A 09 0A 09 0A 09 09 08 08 09 09 08 09 08 09 08 09 08 09 08 09 08 08 07 09 08 08 08 09 08 09 08 0A 08 09 07 09 09 09 08 09 09 09 09 09 09 09 09 09 08 09 08 09 08 09 08 09 08 08 08 08 08 08 08 08 08 08 08 08 07 07 07 07 07 07 07 08 08 08 07 07 08 08 07 08 08 09 07 09 08 08 07 08 08 08 07 08 08 08 07 07 07 08 08 08 07 07 07 07 07 08 07 07 07 08 07 08 07 09 07 08 07 08 07 08 07 08 07 08 07 08 07 08 07 08 07 08 07 07 07 07 07 07 07 07 07 08 07 08 07 08 07 08 07 08 07 08 07 07 07 07 07 07 07 07 07 08 09 08 07 07 07 08 07 07 07 08 07 07 07 08 07 08 07 08 07 08 07 08 07 08 07 07 06 07 06 08 08 07 07 07 07 08 07 08 07 07 07 08 07 08 07 08 07 08 07 08 07 08 07 08 08 08 08 07 07 08 07 08 07 08 07 08 08 08 07 08 08 08 08 08 08 08 07 08 07 08 07 08 08 08 08 08 06 08 07 08 07 07 08 08 07 07 06 08 07 07 07 07 07 07 07 08 07 08 07 08 07 
37 36 30 2F 25 20 18 18 15 14 14 15 17 17 1E 20 2D 31 3B 3E 43 46 69 7B B1 B8 A6 93 5D 50 3A 3A 32 32 2A 27 1E 1B 17 16 15 15 15 15 15 16 19 1C 26 27 34 35 3A 3A 43 49 6B 82 B1 BE A1 94 62 57 3E 3C 34 34 31 30 29 27 1F 1B 19 15 15 14 14 14 14 14 15 16 18 19 21 22 2B 2C 36 3A 3C 3C 40 40 51 5E 87 9F CF DC CC BA 81 71 55 4E 3F 3B 37 36 35 35 33 32 2A 26 21 1F 1B 18 16 16 14 15 14 13 14 13 14 14 14 15 16 15 18 18 1C 1E 22 23 2A 2D 31 34 35 37 35 35 38 37 3C 3D 48 4D 5E 6A 85 8A AC B1 B6 BB B6 AD 96 8E 71 6B 55 50 43 41 3C 3A 35 33 34 34 30 30 30 2F 2E 2C 2F 2C 2C 2A 29 27 24 23 23 22 20 1E 1C 1D 19 19 18 16 16 15 15 15 15 14 13 14 13 13 12 11 12 13 12 11 11 11 12 12 13 12 11 11 12 12 11 12 13 12 12 11 12 11 12 11 13 11 12 11 11 12 11 11 12 12 11 11 11 11 11 11 12 11 11 11 10 11 11 10 10 10 10 11 10 11 10 10 10 10 10 10 10 0E 0F 0F 10 0F 10 10 10 0F 0F 10 0F 0F 10 0F 0F 0E 0F 0F 0F 10 0F 10 0F 10 10 0F 11 11 11 11 13 13 14 14 13 14 16 14 15 13 15 16 16 15 14 14 12 13 13 12 13 12 11 11 10 11 11 12 12 12 12 13 13 12 12 12 0F 0F 0E 0E 0D 0D 0C 0C 0B 0C 0B 0C 0B 0B 0B 0B 0A 0A 0A 0A 09 09 09 09 08 08 08 08 08 07 08 08 07 07 08 07 07 07 08 06 07 07 08 08 07 07 08 08 07 08 08 07 08 08 08 08 08 07 08 08 09 08 08 08 09 08 08 07 08 08 08 07 08 08 07 07 07 07 07 07 08 08 08 07 07 07 07 06 07 06 07 07 07 07 08 07 07 07 07 07 07 06 07 07 07 06 07 07 07 07 07 07 07 07 07 06 07 06 07 06 07 07 07 07 07 06 06 06 06 06 07 06 07 07 08 07 07 07 08 07 07 07 07 07 08 07 07 07 07 07 06 07 07 08 07 06 07 07 06 06 07 06 07 06 07 07 07 06 08 06 08 07 07 07 07 06 07 07 07 07 06 06 07 06 07 06 07 06 06 06 07 06 06 06 06 06 07 07 07 07 07 07 07 07 07 07 06 07 07 06 07 07 07 07 07 06 07 07 07 07 07 06 07 06 07 06 07 07 07 06 07 07 08 07 07 06 08 06 07 06 07 06 06 06 07 06 07 07 07 06 08 07 07 07 07 07 07 07 08 07 07 07 07 06 07 07 06 07 06 06 07 07 08 07 07 06 06 07 07 06 07 06 07 07 07 06 07 06 08 07 07 07 07 07 06 07 
36 32 2D 27 1D 1C 17 16 15 15 16 17 1A 1D 26 28 38 3A 3F 3D 53 5D 97 A4 BD B7 75 60 45 42 38 33 30 2E 23 22 1A 18 16 15 15 15 16 16 19 19 22 23 30 32 3A 39 3E 41 59 69 A0 B0 B9 AD 74 64 48 40 38 36 33 32 2F 2A 21 1D 1A 19 15 15 14 15 13 14 16 15 18 19 1D 1F 29 2C 38 3A 3C 3D 3F 43 50 55 7F 90 C9 CE D0 C6 8C 7A 5A 50 43 40 39 37 37 34 32 30 2A 26 21 1F 1B 19 18 15 16 14 14 13 15 14 15 13 15 15 16 16 19 19 1E 1E 23 27 2E 2F 34 33 37 36 39 37 38 39 40 42 52 57 71 79 9A 9F BB BC C7 B8 A8 9B 7F 72 5E 5A 4D 48 3E 3C 37 34 34 32 32 32 33 30 30 2F 2E 2D 2D 29 2B 27 26 25 23 1F 20 1D 1C 1C 1A 18 17 16 15 15 15 14 14 14 14 12 13 12 13 13 13 11 11 11 13 12 13 11 13 12 12 12 13 12 11 12 13 13 12 12 13 12 13 12 12 13 14 12 13 12 13 12 12 11 12 13 12 11 12 12 13 13 12 12 12 12 11 12 12 11 10 11 12 11 12 11 11 11 12 11 10 11 11 0F 11 10 10 0F 10 10 10 0F 10 0F 10 0F 0F 0F 0F 0E 0F 0F 0F 0F 0F 0E 10 0F 10 0F 10 0F 10 0F 0F 0F 10 10 11 10 12 12 12 11 13 12 14 14 16 13 14 14 13 13 12 11 13 11 12 10 10 0F 10 10 10 10 0F 10 10 11 12 12 12 12 10 0F 0D 0D 0D 0C 0C 0B 0C 0B 0C 0C 0C 0B 0C 0B 0B 0A 0A 0B 0A 0A 09 09 09 08 08 09 08 08 08 09 09 08 08 07 08 07 08 07 08 07 08 07 08 08 08 08 09 08 08 08 09 08 08 07 09 09 08 08 09 09 08 08 08 08 09 08 09 07 08 08 09 08 08 09 08 08 08 07 08 07 08 08 07 06 07 07 06 07 07 07 08 07 07 07 08 07 08 07 08 07 08 06 08 07 07 06 08 07 08 07 08 08 08 07 07 07 07 07 07 07 07 06 07 07 07 07 08 07 07 07 08 06 07 07 07 06 08 07 07 07 07 07 08 07 08 07 07 06 07 07 07 07 07 06 07 06 08 07 07 07 07 07 07 07 06 07 07 06 07 07 07 07 07 07 07 07 08 06 08 06 08 06 07 07 07 07 08 07 07 07 07 06 08 07 07 07 08 08 07 07 08 07 08 07 08 06 07 06 07 07 07 07 07 07 07 07 07 06 07 07 06 07 07 07 08 07 07 07 07 06 07 07 07 07 07 06 07 07 07 07 07 08 08 07 08 07 07 07 07 07 08 07 08 07 07 07 07 07 07 07 08 07 08 06 07 07 07 07 08 07 08 07 07 07 07 07 07 06 07 06 07 07 08 07 07 07 07 07 07 07 07 06 
31 30 28 23 1A 19 16 15 14 15 16 15 1A 1E 2A 2F 39 3C 3F 45 60 70 A5 BA BA A7 61 53 43 3C 37 34 30 2B 1F 1E 18 16 15 14 14 14 16 16 19 1B 26 27 34 37 3A 3E 46 47 6C 7F B0 BF AD 9C 64 59 40 3D 37 34 32 32 2C 25 1C 1B 18 16 14 14 14 14 14 15 15 16 19 1C 1F 22 2F 32 3C 3C 3D 3A 42 44 5B 67 98 A9 D1 D4 BA AB 77 68 4F 4A 3A 3B 35 36 35 34 32 2F 26 23 1D 1C 19 17 15 15 14 14 14 14 13 14 15 14 16 14 17 17 19 1D 20 23 28 2B 30 33 34 33 37 37 37 39 3C 40 48 4C 5F 6D 84 8F AF B5 BB B7 B1 A8 8B 81 6C 62 4C 4A 3F 3E 36 36 35 32 32 31 31 30 2E 2E 2E 2E 2B 2B 2A 27 25 25 21 21 1D 1E 1C 1A 1A 19 18 16 15 15 15 15 14 13 12 13 12 12 13 12 13 12 12 12 12 12 12 11 12 12 13 13 12 13 13 12 12 12 13 12 12 12 14 13 12 14 14 13 13 12 12 13 13 13 12 13 13 13 13 12 13 13 12 13 14 12 12 12 11 11 11 11 12 11 12 12 11 11 11 12 11 10 11 11 10 11 11 10 0F 0F 0F 10 10 0F 10 0F 0F 0F 0E 0E 10 0F 0E 0F 0E 0F 0E 0E 0E 0E 0F 0E 0E 0E 0F 0E 0E 0E 0E 0F 0F 0F 10 0F 11 10 11 11 12 12 13 13 13 13 12 13 12 12 11 11 12 10 11 10 10 10 0F 10 0F 0F 0F 10 10 10 10 11 11 10 0F 0F 0E 0C 0C 0C 0C 0B 0B 0B 0B 0B 0A 0B 0A 0B 0B 0A 0A 09 09 08 09 08 09 07 08 08 08 07 08 07 08 07 07 08 08 08 08 07 07 07 07 08 08 07 08 07 08 09 08 08 08 08 08 08 08 07 09 08 08 09 09 07 08 08 08 08 08 07 08 07 08 08 08 08 08 07 07 07 06 07 07 08 07 07 07 07 07 06 07 07 08 06 07 07 07 06 07 07 07 07 08 07 07 07 07 06 07 07 08 07 07 07 07 07 07 07 08 06 07 06 07 06 07 06 06 07 07 07 07 06 07 06 07 07 07 07 07 07 07 07 06 06 07 07 07 07 07 06 07 07 06 07 07 07 07 06 07 06 07 07 06 07 07 06 07 08 07 07 07 07 07 07 07 07 07 06 07 07 07 07 07 07 07 07 07 07 07 08 07 06 08 06 07 07 07 06 07 07 07 07 07 07 07 07 08 07 07 07 07 07 07 06 07 07 06 07 07 07 07 07 07 06 07 06 07 07 08 07 07 07 08 06 07 06 07 06 07 07 07 07 07 06 07 06 07 07 07 07 08 07 07 07 07 07 07 07 07 07 07 06 07 06 07 07 07 06 07 07 07 07 07 07 07 07 07 07 07 07 06 07 07 06 07 07 07 07 07 07 06 07 
2D 2A 20 1C 19 17 15 16 16 16 19 1A 23 26 36 39 3E 3F 4E 56 81 98 BF B7 86 6E 4A 40 3A 35 32 2F 26 20 1B 18 16 16 15 15 16 16 18 1A 21 24 2E 31 38 38 3D 3E 58 67 9D B2 B9 AF 7A 6B 49 40 39 36 33 36 2E 2B 22 1E 19 18 17 15 15 14 15 13 16 16 1A 1B 1F 22 29 2E 3B 3B 3B 3C 3F 41 58 5F 8E 9E CB D1 C0 B0 77 6B 50 49 3F 3A 37 36 36 34 30 2E 28 24 20 1D 1A 18 17 15 15 13 14 14 14 14 16 14 15 15 18 19 1A 1C 22 26 2C 2D 34 35 37 35 37 34 38 36 3D 3F 51 54 6E 79 98 A1 BD BE BD BA A0 9A 7A 71 58 52 47 41 3C 3A 37 33 32 32 32 31 30 30 2F 2F 2C 2C 2B 2A 27 25 25 22 1F 1D 1B 1A 19 18 16 16 15 14 15 14 14 13 14 13 13 13 13 12 13 12 12 13 12 12 13 13 12 12 12 13 13 12 14 12 14 12 13 14 13 13 14 13 14 13 14 13 14 13 15 13 15 14 15 16 15 16 15 14 14 14 16 15 15 14 15 15 15 14 15 14 13 13 13 14 14 13 13 13 14 12 13 12 13 12 12 11 12 11 13 11 11 11 10 10 11 10 11 10 10 10 10 0E 0F 0F 10 0E 0F 0E 0E 0F 0F 0F 0F 0F 0F 0D 0F 0D 0F 0C 0E 0D 0F 0E 0E 0E 0F 0E 0F 0E 0F 0F 11 12 12 12 11 12 12 12 13 11 12 11 11 10 11 0F 0F 0F 0E 0E 0F 0D 0F 0E 10 0F 10 10 0F 0F 0F 0E 0C 0C 0C 0C 0C 0B 0C 0B 0C 0B 0C 0B 0B 0B 0A 0A 0A 0A 0A 09 09 08 09 09 08 09 09 08 08 08 08 07 08 08 09 08 08 08 08 08 09 07 09 08 09 08 08 08 09 08 09 08 09 08 09 08 09 08 09 08 09 09 08 09 09 08 08 08 08 08 08 08 08 07 08 07 07 07 08 07 08 07 07 07 07 07 08 07 07 06 08 07 08 07 08 07 08 07 08 07 08 07 09 07 08 08 08 07 08 08 08 07 08 07 07 07 08 07 08 07 07 07 07 07 08 07 08 07 07 07 08 08 08 07 07 07 08 08 08 07 08 07 07 07 08 07 08 07 08 07 08 07 07 07 07 07 08 07 07 07 08 07 07 07 07 07 07 07 07 07 07 07 06 07 08 07 07 07 07 07 08 06 07 07 07 07 08 07 07 08 08 08 07 07 08 07 08 07 08 07 08 07 08 08 08 07 07 07 08 07 07 07 08 07 07 07 08 07 08 07 07 07 07 07 08 07 08 07 07 07 08 07 08 07 07 07 07 07 08 07 08 07 08 07 08 07 08 07 08 07 08 07 08 08 08 07 08 07 08 07 08 07 08 07 08 07 08 07 08 07 08 06 07 07 08 06 08 07 07 07 07 08 08 07 08 07 08 07 
