2D 2A 22 21 1D 1B 16 14 11 12 11 11 13 13 16 16 1E 21 28 27 2E 31 43 4B 6A 6D 78 76 60 55 3B 35 2B 26 21 21 1C 1A 15 13 13 11 12 10 12 12 14 15 1B 19 23 24 2B 2C 32 34 46 4B 65 6A 76 70 69 60 4A 42 34 2F 27 26 22 21 1C 1A 17 15 12 12 11 11 12 10 12 11 12 13 16 15 1C 1C 22 23 27 28 2C 2E 36 3A 4B 54 66 6E 75 72 6A 66 4D 46 35 30 2A 28 25 24 21 1F 1E 1D 1A 17 14 14 12 11 10 10 0F 10 10 0F 10 10 10 10 11 11 12 12 14 15 17 18 1D 1C 20 20 24 22 24 24 25 25 27 29 2D 2F 37 3C 4C 4F 67 67 70 6F 6A 64 58 52 44 3F 37 33 2A 29 25 23 21 1F 1E 1D 1C 1B 1B 1A 19 18 16 16 16 15 13 12 11 10 10 0F 0E 0D 0E 0D 0D 0D 0D 0D 0D 0C 0D 0C 0C 0C 0C 0B 0C 0B 0B 0B 0B 0C 0B 0B 0A 0B 0A 0A 0A 0B 0B 0A 0B 0A 0A 0A 0A 0A 0B 09 0A 09 0B 0A 0A 09 0A 09 0A 09 09 08 09 09 09 09 09 09 09 08 09 09 09 09 08 08 09 09 09 08 09 07 09 08 08 08 09 08 08 09 08 08 09 07 08 07 08 07 08 07 07 07 08 07 08 08 07 07 08 07 08 07 08 06 08 07 08 07 08 06 07 07 07 07 07 06 07 06 07 07 08 07 07 06 07 07 08 07 07 07 08 06 07 07 07 07 07 06 08 07 07 07 07 07 07 07 08 07 07 06 07 07 08 06 08 07 08 07 07 07 08 08 07 07 07 07 07 07 07 07 07 06 07 06 07 07 07 07 07 06 07 06 07 06 07 06 07 06 07 06 07 06 07 06 06 06 07 06 06 06 07 06 07 06 07 06 07 06 07 06 07 06 07 06 07 07 07 06 07 06 07 07 06 06 07 06 07 07 07 06 07 07 07 07 07 06 07 06 07 06 07 06 07 07 07 06 07 06 07 06 07 06 07 06 06 06 07 06 07 07 07 06 07 06 06 06 07 06 06 06 06 06 07 06 07 06 07 06 07 06 06 06 06 06 06 08 07 06 07 06 07 06 07 06 06 06 07 06 06 06 07 06 07 06 06 06 06 07 07 07 07 07 07 07 07 06 07 06 07 06 07 06 07 06 07 07 06 06 07 06 07 06 07 06 07 06 07 06 07 06 07 06 08 07 07 07 06 06 06 06 07 06 07 06 07 06 07 07 06 07 07 06 08 06 07 06 07 06 07 06 07 06 06 06 07 07 07 06 07 06 06 06 07 07 07 07 07 06 07 07 07 06 07 06 07 07 07 06 07 07 06 06 07 07 08 07 07 07 07 06 07 06 07 06 07 06 07 06 07 06 07 06 07 06 07 07 07 07 07 07 07 06 07 07 07 06 07 07 07 06 07 06 07 07 
29 26 20 1F 1A 17 13 12 11 11 12 11 13 14 19 1A 23 26 2D 2E 34 3B 54 5E 75 76 70 69 50 45 30 2E 26 23 1F 1D 19 16 14 12 12 11 12 12 14 13 18 19 1F 1F 26 28 30 30 38 3D 58 5F 73 6E 72 6C 5A 52 3C 35 2C 27 23 23 1E 1C 19 17 14 13 12 11 11 10 11 10 11 12 13 15 19 1A 20 20 26 28 2A 2A 32 33 40 49 60 64 76 76 71 6F 55 4C 3B 35 2C 2B 26 26 23 22 1E 1D 1A 19 16 14 13 12 11 10 0F 0F 10 0F 10 0F 10 0F 12 12 11 13 15 15 17 17 1B 1B 1F 21 23 23 25 24 25 25 27 29 2F 30 3A 41 4C 53 69 6D 77 75 6C 64 55 50 41 3D 34 30 29 26 25 23 20 20 1D 1D 1C 1B 1A 1A 19 18 16 15 14 12 12 12 11 10 0F 0E 0F 0E 0E 0D 0D 0C 0C 0C 0D 0B 0B 0C 0B 0C 0B 0B 0B 0A 0B 0B 0B 0B 0B 0A 0B 0A 0B 0A 0B 0A 0C 0A 0B 0B 0B 0A 0A 0A 0A 0A 0A 0A 0A 09 0A 0A 0A 0A 0A 09 09 09 0A 0A 0A 0A 0A 09 09 09 09 09 09 08 09 09 09 09 09 09 09 08 08 08 09 08 08 07 08 08 08 08 08 08 08 07 08 07 08 08 07 07 08 08 08 07 07 08 07 07 07 07 07 07 07 07 07 07 07 07 07 06 07 07 07 06 07 06 07 07 07 07 06 06 08 07 07 07 08 07 07 07 07 07 07 06 06 07 06 07 06 07 08 07 07 07 07 07 06 06 07 06 08 07 08 06 07 07 07 07 07 07 07 06 07 07 07 07 07 06 08 07 07 06 08 07 07 07 07 07 07 06 06 06 06 06 06 06 06 06 07 07 06 07 06 07 07 06 07 06 07 06 07 07 06 06 06 06 06 06 07 06 07 06 07 06 07 06 07 07 07 06 07 06 07 06 07 06 07 06 07 06 06 06 06 07 06 06 06 06 06 06 06 07 06 06 06 06 07 06 06 06 06 06 07 06 07 06 06 05 07 06 06 06 07 06 07 06 06 06 06 06 07 06 06 07 07 06 06 06 07 06 06 06 07 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 07 06 06 07 06 06 07 06 07 06 07 06 06 06 06 07 07 06 07 07 06 06 06 06 07 06 06 06 06 06 06 06 07 06 07 06 08 06 07 06 07 06 07 06 07 06 07 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 07 06 06 06 07 06 07 06 06 05 06 06 07 06 07 06 07 06 07 06 07 06 06 06 06 06 07 06 07 07 06 06 07 06 07 06 06 06 06 06 07 06 07 06 06 08 07 07 06 06 07 07 06 06 06 07 07 06 07 06 07 06 07 06 07 06 06 06 07 06 07 07 07 07 07 06 07 07 07 06 07 06 
21 1F 1B 18 14 14 11 11 11 11 14 15 1A 1C 24 27 2B 2D 35 3B 58 61 77 78 70 69 49 42 30 2E 24 22 1F 1D 1A 16 14 12 12 11 12 12 15 14 19 1A 21 22 29 2A 2F 31 3F 44 5F 68 77 75 6F 68 52 4B 38 34 2B 29 23 21 1D 1B 19 16 13 12 13 11 12 12 11 12 14 13 17 17 1D 1E 25 25 2B 29 31 32 3A 3E 54 5D 6F 74 78 6F 64 5A 45 41 32 2C 29 25 24 24 21 20 1D 1A 17 15 13 13 11 11 10 11 10 10 11 10 11 10 12 11 12 11 15 16 19 19 1D 1E 22 23 25 25 26 26 28 29 2D 2E 37 38 47 4C 64 68 76 79 76 76 65 5B 4F 48 39 36 2D 2B 25 24 21 22 21 1E 1E 1E 1E 1C 18 1A 19 16 15 14 14 12 10 10 11 11 0F 0E 0F 0E 0E 0D 0E 0E 0C 0D 0D 0D 0C 0C 0C 0C 0D 0C 0D 0C 0C 0B 0C 0B 0B 0C 0C 0B 0C 0B 0C 0C 0C 0B 0D 0C 0B 0B 0C 0B 0C 0C 0C 0C 0C 0B 0C 0C 0C 0C 0C 0B 0C 0C 0C 0B 0C 0B 0B 0B 0C 0B 0B 0B 0B 0B 0B 0B 0B 0B 0A 0A 0B 0A 0A 09 0A 0A 09 09 0A 09 0A 09 09 09 09 09 08 08 09 08 09 09 09 08 08 08 08 08 09 08 08 08 08 08 07 08 08 07 08 07 08 07 08 08 08 07 09 07 07 07 07 08 07 07 08 07 07 07 07 07 07 08 07 07 07 07 08 07 08 07 07 07 07 07 07 07 08 07 08 07 07 07 07 07 08 07 08 07 08 07 07 07 08 07 08 07 08 07 08 07 08 07 08 07 07 07 08 07 07 07 07 07 08 07 08 07 08 07 07 08 08 07 08 07 07 07 08 07 07 07 07 06 07 07 07 06 07 07 06 07 07 07 07 07 07 07 07 07 07 06 07 07 07 07 09 07 08 07 07 07 07 07 08 07 07 07 07 06 07 06 07 07 07 07 06 07 06 07 07 07 07 06 07 07 06 07 07 06 07 06 07 07 07 06 07 06 07 07 07 06 07 07 08 07 07 07 07 07 07 07 07 06 07 07 07 06 07 06 07 07 07 06 06 07 07 06 08 06 07 07 07 06 07 07 07 07 07 07 07 07 07 06 07 06 07 07 07 07 07 07 07 07 07 06 07 07 07 06 07 07 07 07 06 07 07 07 07 07 07 07 08 07 07 06 07 07 07 07 08 07 07 07 07 06 07 07 07 07 07 06 07 07 07 07 07 06 07 07 07 06 07 06 07 06 07 07 07 07 07 07 07 07 07 06 07 06 07 07 08 06 08 07 07 07 07 07 07 07 07 06 07 07 07 07 07 07 07 07 07 07 07 07 07 08 07 07 08 07 07 07 08 07 07 07 07 07 08 07 08 07 07 07 07 07 07 07 07 07 07 07 07 07 07 06 07 07 07 07 07 07 
1E 1B 17 14 13 10 12 11 12 12 16 17 1D 1F 27 2A 2E 33 43 4C 6B 6F 76 70 62 55 3A 35 2B 27 21 20 1C 19 15 14 11 11 12 12 13 13 16 16 1A 1D 24 27 2C 2D 35 39 4D 55 6E 70 72 6E 61 57 43 3D 2E 2C 26 23 1E 1E 1B 19 14 13 12 12 11 10 12 10 12 12 15 15 1A 1B 21 23 26 29 2E 2E 36 3B 49 50 68 6F 76 77 6F 64 4E 47 38 32 2B 27 25 24 21 21 1D 1C 18 17 14 14 12 11 10 10 0F 0F 10 10 10 10 11 11 12 13 14 15 17 19 1C 1C 21 22 25 25 26 25 28 2A 2D 2E 39 3C 47 4B 63 67 79 7D 7D 78 65 5F 4B 46 38 35 2D 2A 26 23 22 21 1F 1E 1E 1D 1C 1C 1A 19 17 16 15 14 11 11 11 0F 0F 0E 0D 0E 0D 0E 0D 0D 0D 0D 0D 0C 0C 0C 0C 0C 0B 0B 0C 0C 0C 0B 0C 0B 0C 0B 0C 0C 0C 0B 0C 0B 0C 0B 0C 0C 0C 0B 0C 0C 0C 0C 0C 0C 0D 0D 0C 0C 0C 0D 0C 0B 0C 0B 0D 0B 0C 0C 0D 0C 0C 0C 0B 0B 0B 0C 0C 0B 0B 0B 0B 0B 0C 0B 0B 0A 0B 0A 0A 0B 0A 09 0A 0A 0A 0A 09 09 09 09 09 09 08 09 08 09 09 08 09 08 08 08 08 08 07 07 08 07 08 07 08 07 08 07 08 07 07 07 07 07 07 06 07 06 07 07 06 07 07 07 07 06 07 06 07 07 07 07 07 06 06 07 07 06 07 06 06 07 07 06 06 06 07 06 07 06 07 07 07 06 07 06 07 06 07 06 06 06 07 06 07 06 07 06 07 07 07 07 07 07 06 07 07 06 07 06 08 07 07 07 07 06 06 06 07 06 06 06 07 06 07 06 06 06 07 06 06 06 06 06 07 05 07 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 07 07 06 06 07 07 07 06 07 07 06 06 07 06 07 06 07 06 06 06 06 06 06 06 06 06 06 06 07 06 07 07 06 05 06 07 07 06 07 06 07 06 06 06 06 06 07 06 06 06 06 06 07 06 06 06 06 06 06 06 06 06 06 06 06 06 06 07 06 06 06 06 07 06 06 06 07 06 06 06 06 07 06 06 06 06 06 06 08 07 07 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 07 06 06 06 06 06 07 06 07 06 07 06 06 06 06 06 06 06 06 06 06 07 06 06 06 05 07 06 07 06 06 07 06 06 06 06 06 06 06 05 06 06 06 06 06 06 06 06 06 06 06 07 07 06 07 07 07 06 06 06 06 05 06 06 06 06 07 07 06 06 07 06 06 06 06 06 06 06 07 06 07 06 07 07 06 06 06 06 07 06 07 07 06 06 06 06 07 06 07 06 07 06 07 06 07 05 07 06 07 07 
18 14 13 11 12 11 13 13 15 18 1E 20 29 27 30 32 43 4D 6C 75 78 73 5F 56 3A 33 28 27 20 20 1B 19 15 14 13 12 13 11 13 13 17 18 1E 1F 28 28 2E 30 3A 3F 55 5E 75 70 75 6B 5C 53 3D 3A 2E 2A 25 24 21 1D 1A 17 13 13 12 11 12 11 12 12 14 14 17 18 1F 20 25 26 2B 2B 31 33 3C 43 59 63 73 79 74 73 5C 56 3F 39 2F 2C 28 25 23 20 1F 1D 1B 1B 16 15 14 13 11 11 11 10 11 11 11 10 12 11 13 14 15 15 19 18 1E 1F 23 25 26 25 29 27 2B 2B 30 32 3D 42 53 5B 70 71 80 7F 77 6F 5F 59 44 3D 33 2F 2A 26 25 25 21 20 1F 1F 1D 1D 1C 1A 18 18 16 16 14 13 10 12 0F 0F 0F 0F 0F 0F 0E 0E 0F 0D 0D 0D 0D 0D 0E 0C 0D 0D 0E 0D 0D 0D 0C 0D 0D 0D 0D 0D 0E 0D 0E 0D 0F 0D 0F 0E 0F 0E 10 0E 0F 0F 10 0F 0F 0E 0F 10 11 0F 10 10 10 10 10 0F 11 10 10 0F 0F 0F 0F 0E 0F 0F 0F 0F 0E 0E 0F 0E 0F 0E 0E 0D 0E 0D 0D 0C 0D 0D 0D 0C 0D 0B 0C 0C 0C 0B 0B 0B 0B 0B 0B 0B 0A 0A 0A 0A 0A 0A 0A 0A 0A 09 0A 09 09 09 08 09 09 08 09 08 09 08 08 08 08 08 08 07 08 07 09 08 08 08 07 07 08 07 08 07 08 07 08 07 08 07 07 07 07 07 07 07 08 06 07 06 08 07 07 07 08 07 07 07 07 07 07 07 07 07 07 06 07 07 07 07 07 07 08 07 08 07 08 07 07 07 08 07 08 07 08 07 08 07 07 08 07 07 07 07 08 07 08 07 07 07 07 07 08 07 08 07 07 07 07 06 07 06 07 06 07 06 07 06 07 06 07 07 07 06 07 06 07 07 07 07 07 06 07 07 07 06 06 07 07 06 07 07 07 07 07 07 07 06 07 07 07 06 08 06 07 06 07 07 07 06 07 07 08 06 07 06 07 06 07 06 07 06 07 06 07 06 07 06 07 06 07 06 07 07 07 07 07 06 07 07 07 07 07 06 07 06 07 07 06 06 06 06 07 07 06 06 07 06 08 06 07 07 07 06 07 06 07 07 07 06 07 06 07 06 07 06 07 06 07 07 07 06 07 07 07 07 07 06 07 06 08 06 06 06 07 07 07 07 07 07 07 06 07 07 08 07 08 07 08 06 07 07 07 06 07 06 07 07 07 06 07 07 07 06 07 07 07 06 07 07 07 06 09 07 08 07 07 06 07 06 07 07 07 06 07 07 07 07 08 06 07 07 08 06 07 06 08 07 07 07 07 07 07 06 07 06 07 06 07 07 08 06 07 07 07 07 08 06 07 07 07 07 07 06 07 06 07 06 07 06 07 07 07 07 07 06 08 07 07 07 08 08 07 07 07 06 07 07 07 07 
15 12 11 11 10 11 14 13 18 1A 21 23 2B 2C 32 39 57 62 76 78 72 6C 4E 41 31 2C 26 24 1F 1E 17 16 12 12 11 11 13 12 14 15 1A 1A 22 24 2A 2B 33 36 45 4E 65 6E 77 72 68 63 4B 44 36 31 26 26 22 20 1C 1A 16 16 12 12 12 11 11 10 12 12 15 16 19 1C 21 21 28 29 2C 2F 36 3A 51 57 6C 6F 78 73 63 5D 47 41 35 30 2A 28 24 23 21 20 1B 19 16 14 13 12 10 10 10 11 10 10 11 10 11 10 12 12 13 15 17 19 1D 1D 23 24 25 27 27 28 2B 2C 30 33 3D 3F 53 55 6D 73 84 83 7A 73 5F 54 43 3E 33 30 28 26 23 22 21 20 1F 1E 1D 1C 1C 1B 17 17 15 14 14 11 11 11 10 0F 0F 0E 0E 0E 0D 0D 0E 0D 0D 0D 0D 0C 0D 0D 0E 0C 0C 0D 0D 0D 0D 0C 0E 0D 0D 0D 0D 0D 0D 0D 0F 0E 0E 0E 0F 0F 0F 0E 11 10 11 10 10 11 10 11 10 11 10 10 11 11 12 10 11 11 10 10 10 0F 11 0F 10 10 0F 10 0F 0F 0E 0E 0F 0F 0F 0E 0D 0E 0E 0D 0D 0C 0D 0C 0D 0C 0D 0C 0D 0B 0B 0B 0C 0B 0B 0A 0B 0B 0A 0A 0A 0A 0A 0A 0A 0A 09 09 09 09 09 09 0A 08 09 08 08 08 09 07 08 07 08 08 09 07 08 07 08 07 08 07 08 07 08 07 07 07 08 07 07 07 07 08 07 07 07 07 07 06 07 07 07 07 07 07 06 07 06 06 07 06 07 06 07 07 07 06 07 06 07 06 07 07 07 07 07 07 07 07 07 07 07 07 07 06 07 07 07 07 07 07 07 07 07 07 07 07 08 07 07 06 07 06 07 06 07 06 07 07 07 06 07 06 07 07 06 06 07 06 07 05 06 06 06 07 06 06 07 07 06 06 07 06 07 07 06 07 06 06 06 06 07 07 07 07 06 07 06 06 07 06 07 06 07 06 06 06 06 07 07 06 07 06 06 06 06 06 06 06 06 06 06 06 07 07 06 06 06 07 07 06 06 06 07 06 07 06 06 06 07 06 07 07 06 06 07 06 06 06 07 06 07 06 07 06 07 06 07 06 07 06 07 06 06 06 07 06 06 06 07 06 07 07 07 06 06 06 06 06 06 06 07 06 07 06 07 06 07 07 07 06 06 06 07 06 06 06 06 06 07 06 07 06 06 06 06 06 07 06 07 06 06 06 06 07 07 06 07 06 07 05 07 07 06 06 06 07 07 06 07 06 07 06 07 06 06 07 06 06 07 06 06 06 06 06 06 06 07 06 07 06 08 06 07 06 07 06 07 07 06 06 07 06 07 06 06 06 06 06 06 06 07 06 07 06 06 07 07 06 07 07 07 07 06 06 07 07 07 06 07 07 07 06 07 06 07 06 07 06 06 07 07 07 07 07 07 06 07 06 07 06 07 06 
11 12 11 11 14 14 1A 1A 24 24 2A 2D 37 39 56 60 7B 7A 6E 6C 50 43 32 2D 25 23 1F 1C 19 15 14 12 11 12 12 12 15 16 1B 1D 25 25 2B 2C 35 36 4B 55 6D 70 79 75 65 5A 47 41 32 2D 27 24 23 1F 1B 18 15 14 11 12 10 11 12 12 14 14 16 17 1C 1F 24 26 2C 2C 31 32 3F 42 5D 64 78 78 77 6E 58 51 3E 38 30 2C 2A 26 24 20 20 1C 19 17 15 13 12 11 11 0F 11 10 10 10 12 11 13 12 14 13 18 18 1C 1D 23 23 27 27 28 27 2B 2C 31 34 3F 43 55 5D 76 7C 86 81 76 72 58 4F 3E 3A 2D 2C 26 26 23 23 21 21 20 1F 1E 1C 1A 19 16 16 13 13 11 10 11 11 0F 0F 0F 0E 0E 0D 0E 0E 0D 0E 0E 0E 0E 0D 0F 0D 0D 0E 0D 0E 0E 0D 0F 0E 0F 0E 0E 0D 10 0F 10 0F 11 10 11 12 14 13 12 11 14 14 15 14 15 13 15 14 15 15 14 14 14 14 13 14 14 13 13 13 13 12 12 14 13 13 12 12 12 12 11 11 12 11 11 10 10 10 10 0F 10 10 0F 0F 0F 0F 0F 0E 0F 0E 0E 0D 0E 0D 0D 0D 0D 0B 0C 0C 0C 0C 0B 0A 0B 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 09 09 09 0A 09 09 08 09 08 09 08 09 08 08 08 09 08 08 08 08 08 08 08 09 08 08 07 08 08 08 07 08 07 08 07 07 06 07 07 08 06 07 07 06 06 07 07 07 07 07 07 07 06 07 06 06 07 07 06 07 06 07 06 07 09 07 07 07 06 07 06 07 07 08 06 07 06 07 07 07 07 08 06 07 06 08 07 07 07 07 06 07 07 07 06 07 07 07 07 07 07 07 07 07 07 07 06 07 07 06 06 06 06 06 06 07 06 07 07 07 06 07 06 06 06 07 06 06 06 07 06 07 07 07 07 07 06 07 06 07 06 07 06 07 07 07 07 07 07 07 07 06 07 07 07 07 06 07 06 07 06 07 06 06 06 06 06 07 06 07 06 07 06 07 06 07 06 07 06 07 06 06 06 07 06 07 06 07 06 07 06 06 06 07 06 07 06 07 06 07 06 06 06 06 06 07 06 06 07 07 06 07 06 07 07 06 06 07 06 07 06 07 06 07 06 07 06 07 06 07 06 06 06 07 06 06 06 06 06 07 07 07 06 07 06 07 07 08 06 07 06 07 07 07 06 07 07 06 06 07 06 07 06 07 06 07 07 07 06 07 06 07 06 07 06 07 06 07 06 07 06 06 06 06 06 07 07 07 05 07 06 07 06 06 06 07 06 06 06 07 07 07 06 07 06 07 06 06 07 07 07 07 06 07 06 07 06 07 06 07 06 07 06 07 06 06 06 07 06 07 06 07 06 07 06 07 07 07 06 07 06 07 07 07 07 07 07 07 07 07 07 07 06 
11 10 12 11 13 16 1C 1F 27 2A 2D 32 3F 47 6A 76 76 77 64 5A 3D 35 29 27 23 1F 1A 18 14 14 12 12 12 11 13 13 17 18 1F 21 26 29 2E 31 3D 43 5F 69 74 73 70 6C 53 4C 3B 35 2A 28 23 22 1C 1A 16 16 14 11 11 10 11 10 12 12 17 15 1A 1C 23 23 29 2A 2E 31 3A 3C 4D 57 70 74 78 76 64 59 4A 41 33 32 2A 28 24 24 20 1F 1B 19 16 15 12 12 10 11 10 11 10 10 11 11 12 11 14 14 16 17 1D 1E 21 21 28 28 29 2A 28 2B 32 31 3E 41 56 5B 73 75 87 88 7C 7B 5B 55 41 3C 32 2C 28 24 24 23 21 21 20 1F 1D 1D 1B 1A 16 16 14 13 12 11 10 10 10 0E 0E 0E 0E 0E 0E 0D 0E 0E 0D 0D 0E 0E 0D 0C 0E 0D 0D 0E 0E 0E 0F 0E 0F 0F 0F 0F 11 11 11 11 12 12 14 13 14 13 14 13 15 16 15 16 16 14 16 15 14 15 15 15 16 14 14 14 13 15 15 14 14 14 14 13 14 14 13 14 14 14 13 12 13 13 11 12 11 11 12 11 11 11 12 10 10 10 10 10 0F 10 10 0E 0E 0F 0E 0E 0D 0C 0D 0C 0C 0B 0B 0C 0C 0B 0B 0A 0C 0A 0A 0A 0A 0A 0A 08 09 09 0A 09 09 09 09 09 09 08 09 08 08 08 0A 08 09 08 08 07 08 07 07 07 08 08 07 07 08 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 06 07 07 07 06 07 06 07 06 07 06 07 07 07 06 07 07 06 06 07 06 06 06 06 06 07 06 07 06 07 06 07 07 07 06 07 07 07 07 06 06 07 06 07 06 08 06 07 06 07 06 07 07 07 07 07 06 07 07 07 07 07 06 06 06 07 06 07 06 06 06 06 06 06 06 07 05 07 06 07 06 07 05 07 06 07 06 06 07 07 06 07 06 07 06 07 06 07 06 06 06 06 06 07 06 08 06 06 06 07 05 07 06 07 05 06 06 07 06 07 06 06 06 06 06 07 06 07 06 07 06 06 06 07 06 06 07 06 06 07 07 06 06 07 07 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 07 07 06 07 06 06 06 06 06 06 06 06 07 07 06 06 06 06 06 06 07 07 06 07 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 07 06 07 06 07 06 07 06 07 06 07 05 06 06 07 06 06 06 06 06 06 06 07 06 07 06 07 06 07 06 07 07 06 06 07 06 06 06 06 06 06 06 06 06 06 07 06 05 06 06 06 06 07 06 06 06 07 06 07 06 07 06 07 06 07 06 06 06 07 06 07 06 07 06 07 06 07 06 06 06 07 06 07 07 06 07 06 06 07 06 07 06 06 06 07 06 07 06 07 06 06 06 07 06 07 06 
13 12 14 16 1D 1E 28 28 2F 31 41 47 6C 72 7B 79 60 59 3B 34 2C 26 24 20 1C 19 15 15 13 12 13 12 13 14 18 1A 21 21 29 2B 32 33 43 46 69 6D 7B 78 6C 68 4D 48 37 33 2A 26 22 1F 1E 1B 17 14 13 12 11 11 12 13 13 14 18 18 1D 1F 25 27 2C 2C 32 34 41 48 61 6A 76 77 74 6F 58 4E 3E 36 31 2E 28 26 21 20 1E 1C 18 18 15 14 13 10 11 10 12 10 11 10 11 12 14 14 17 17 1C 1D 20 22 28 26 2B 2C 2D 2C 34 34 43 48 5A 63 78 7F 89 85 75 71 58 51 3F 3A 32 2D 28 26 24 23 23 22 20 20 1D 1D 1A 19 16 14 13 13 11 11 10 0F 10 0F 0F 0F 10 0E 0E 0E 0F 0E 0F 0E 0F 0E 0E 0F 0E 0F 0F 0F 10 10 11 10 11 12 12 14 15 13 16 15 18 16 19 19 19 19 18 19 17 17 18 18 19 18 18 17 19 17 18 18 19 19 1A 19 1B 1A 1B 1B 1A 1B 1D 1C 1D 1C 1E 1C 1E 1D 1D 1C 1E 1C 1D 1D 1C 1C 1B 1A 1A 1B 1A 19 19 18 18 17 15 16 16 15 13 14 13 11 11 11 12 10 10 0F 0F 0E 0F 0D 0E 0D 0E 0D 0C 0D 0C 0C 0C 0B 0B 0B 0B 0A 0A 0A 0A 0A 0A 09 0A 09 0A 09 09 09 09 08 09 09 09 09 09 08 09 08 09 08 09 08 09 08 08 09 08 08 09 07 09 08 08 07 08 07 08 07 08 06 07 07 08 07 07 07 08 06 07 06 07 07 08 07 06 07 08 07 07 06 08 06 07 07 07 06 07 06 08 06 08 07 08 07 07 06 07 07 07 06 07 07 08 07 07 07 08 07 08 07 08 06 08 07 07 07 07 07 08 06 08 07 08 07 07 07 07 07 08 06 07 07 07 07 07 06 07 07 07 06 07 06 08 07 07 06 07 06 07 06 07 06 07 07 07 07 07 07 07 07 07 07 07 07 07 07 06 07 07 06 07 06 07 06 07 06 07 07 06 06 07 07 07 06 07 06 06 06 07 06 06 06 07 06 06 06 07 06 07 06 07 07 07 06 07 06 07 06 07 07 07 07 07 06 07 06 07 06 08 07 07 06 07 07 07 07 07 06 07 07 07 07 07 06 08 07 07 06 07 07 07 06 07 06 07 07 07 06 07 06 07 07 07 06 07 06 07 06 07 07 07 06 07 06 07 07 07 06 07 07 07 07 07 07 06 07 07 06 07 06 07 07 07 06 07 07 07 06 07 06 07 06 07 06 08 07 07 06 06 06 07 06 07 06 07 06 07 06 07 06 07 06 07 06 07 06 07 07 07 06 08 07 07 06 07 06 07 06 07 06 07 07 07 06 07 06 07 06 07 07 07 07 07 06 07 07 07 07 07 07 07 06 07 06 07 06 07 07 07 07 08 06 07 06 08 06 08 07 08 07 
12 13 16 17 21 22 2B 2A 34 38 4F 5D 74 78 71 69 54 49 33 2F 26 23 1F 1D 19 16 14 12 13 11 12 13 15 16 1B 1E 24 26 2D 2C 38 39 51 5A 78 7B 77 70 60 5A 40 3C 2F 2B 25 23 1E 1F 19 17 15 12 12 12 11 11 13 14 15 15 19 1B 22 24 2A 2B 2E 32 39 3E 53 5B 73 77 76 76 63 5C 48 42 34 31 2B 28 24 22 1F 1F 1B 19 15 13 12 11 11 10 10 0F 11 10 12 12 14 14 16 15 19 1B 20 22 24 26 29 2C 2B 2C 34 35 3E 44 59 5D 73 79 89 8A 80 78 61 59 44 3A 30 2F 27 28 25 23 24 21 21 21 1E 1D 1A 19 15 16 13 13 11 10 10 0F 0F 0F 0F 0F 0E 0E 0F 0F 0E 0E 0E 0E 0E 0E 0E 0E 0F 0F 10 10 11 11 11 12 13 13 13 15 16 16 17 17 18 17 18 18 19 1B 19 19 1A 1A 19 19 1A 19 1A 19 19 19 1A 1B 19 1A 1A 1B 1E 1E 21 1E 20 20 20 21 23 22 23 24 24 22 21 23 23 24 21 22 21 21 20 1F 1F 1C 1D 1D 1B 1D 1B 18 18 18 18 17 16 15 14 14 13 13 12 11 11 10 10 0F 0F 0E 0E 0F 0E 0E 0E 0D 0D 0C 0C 0C 0C 0B 0B 0B 0B 0A 0A 09 0A 09 0A 09 0A 09 09 09 0A 09 09 08 09 08 08 09 09 08 09 08 08 08 09 08 08 08 08 07 08 08 08 07 08 08 08 07 07 07 08 07 07 06 07 06 07 07 07 07 07 07 07 07 06 07 07 06 07 07 07 06 07 06 07 07 07 06 07 06 07 07 06 07 07 07 08 07 07 07 07 07 08 06 07 07 07 06 07 06 07 06 07 07 07 07 07 07 07 07 08 06 07 07 07 07 06 07 07 07 07 06 07 06 07 06 07 06 07 06 07 06 06 06 07 07 06 06 07 06 07 06 06 06 06 07 07 07 07 07 07 06 07 07 07 07 07 06 07 07 07 06 07 06 06 06 06 06 07 06 07 06 06 06 07 06 07 06 06 06 06 06 06 06 06 06 06 06 07 06 06 06 07 07 06 06 06 06 06 06 07 07 07 06 07 07 06 06 07 07 06 07 07 06 06 06 07 06 07 06 07 06 06 05 07 06 07 06 07 06 07 06 07 06 08 06 06 06 06 06 06 06 06 06 07 06 06 06 06 07 06 07 07 07 07 06 07 06 06 06 07 06 07 06 06 06 07 06 07 06 07 06 07 06 06 06 06 06 06 06 07 06 06 06 06 06 07 06 07 06 07 07 07 07 07 06 06 06 06 07 06 06 07 05 07 06 07 06 07 06 08 07 07 06 07 06 06 07 07 06 07 06 07 06 07 06 07 07 06 06 07 07 07 07 07 07 07 07 06 06 06 06 07 07 06 06 06 06 07 07 07 06 07 07 07 07 07 07 07 06 07 06 07 07 
