46 48 4C 4A 36 30 20 1B 19 17 19 18 1B 1E 2B 32 50 5C 63 5C 42 3E 34 2F 30 2D 32 34 3D 3E 47 4D 5A 58 4E 49 2D 26 1E 1A 19 17 16 17 19 1A 22 27 3B 44 63 6A 61 58 3D 38 2F 2C 2D 2D 30 2F 33 33 39 3F 4D 4C 55 59 54 4F 35 30 23 1E 1A 17 16 15 16 16 18 17 1B 1B 27 28 3D 42 63 65 63 5D 45 3E 31 30 28 28 29 2B 2D 2A 2C 2B 2E 31 38 3A 42 45 4E 51 55 52 49 42 32 2B 21 1C 1A 18 16 16 15 14 13 13 13 14 15 14 17 17 1C 1A 20 22 2E 30 42 44 57 5A 5F 5B 50 4B 3E 39 2E 2A 24 23 22 21 22 20 26 22 24 23 22 20 21 21 20 20 23 23 27 26 2D 2C 31 32 38 36 3C 39 3C 39 3A 35 32 30 2B 29 26 23 1E 1D 1A 1A 16 17 15 13 12 12 13 10 11 10 10 10 10 0E 0F 0E 0E 0D 0D 0D 0D 0D 0D 0D 0D 0D 0D 0D 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0B 0C 0B 0B 0B 0C 0B 0A 0A 0B 0B 0B 0A 0A 0B 0A 0A 0B 0A 0B 0A 0A 0A 0A 09 0A 09 09 09 0A 09 0A 09 0A 09 09 09 09 09 09 08 09 08 09 08 09 08 08 08 08 09 08 08 09 08 09 08 08 08 08 08 08 09 08 07 08 08 08 08 08 07 08 07 08 07 08 07 08 07 08 07 08 07 08 08 08 08 08 08 08 08 09 08 09 08 09 08 09 08 08 08 09 08 08 08 08 08 09 07 08 07 08 08 08 08 08 08 07 09 08 08 08 08 08 07 08 08 08 08 08 08 09 08 09 08 08 07 08 07 08 07 07 07 08 07 07 07 07 07 07 07 08 07 08 07 07 07 07 07 08 07 08 08 08 07 08 07 07 08 08 07 08 08 08 07 08 07 07 07 07 07 08 07 08 07 07 07 08 07 07 07 06 07 07 06 07 06 07 07 08 07 07 07 07 07 08 07 08 07 08 07 07 07 07 07 08 07 07 06 08 07 07 06 07 07 07 07 07 06 07 07 08 07 07 06 07 06 07 07 07 06 08 08 07 08 08 07 07 07 07 06 07 07 08 07 07 06 07 07 07 07 07 07 07 08 07 07 07 06 07 07 07 07 07 07 07 07 07 06 08 07 07 07 07 07 07 07 08 07 08 07 08 07 07 07 07 07 07 06 08 08 07 07 07 07 07 07 07 07 08 07 07 06 08 06 07 07 08 07 07 06 07 06 07 07 07 07 07 07 07 07 07 06 08 07 07 07 08 07 08 07 08 07 07 07 08 07 08 07 08 07 07 06 07 07 07 07 08 07 08 07 07 07 07 07 07 07 08 07 08 07 07 07 08 07 07 07 07 07 08 07 08 07 07 07 07 07 08 08 07 08 08 07 07 07 07 06 07 07 07 07 
4B 4E 46 41 27 25 18 18 13 15 15 17 1D 25 36 44 5F 66 53 4E 37 35 2D 2F 2C 32 32 36 3E 45 4E 54 58 56 3C 36 21 20 17 17 13 16 15 19 1B 1D 2B 35 4D 5B 69 69 49 42 30 32 2A 2C 2C 2F 2E 2F 32 39 40 46 4D 54 53 57 41 3B 24 21 1A 18 14 16 11 14 13 16 17 1A 1C 23 30 39 4E 59 69 67 4D 48 32 2F 26 29 27 2A 2A 2A 2B 2C 2B 2C 30 36 3E 44 4B 50 51 57 48 46 35 32 21 21 17 17 13 14 12 15 10 13 10 14 12 14 14 18 17 1B 1E 20 2A 2F 3C 44 55 5D 5A 61 52 50 3B 36 2A 2A 22 23 1E 21 20 20 21 24 22 24 1F 22 1F 21 1E 21 21 24 25 26 2B 2E 32 34 38 3A 3A 3C 3A 3B 36 38 2E 2F 27 26 20 1F 19 1C 16 17 13 15 11 12 10 11 0D 10 0E 10 0D 0E 0C 0E 0D 0D 0B 0C 0A 0D 0B 0C 0B 0D 09 0D 0A 0C 0A 0C 0A 0C 0A 0C 0B 0C 0A 0C 09 0B 0A 0C 0A 0C 09 0C 09 0C 09 0B 08 0A 09 0B 09 0B 09 0B 09 0A 08 0A 07 0A 07 0A 08 0A 07 0A 08 09 07 09 07 09 07 08 06 0A 07 09 07 09 06 08 06 09 07 08 06 08 06 08 05 08 05 08 06 07 05 07 06 07 05 07 05 07 06 07 05 07 05 08 05 07 05 07 04 07 05 07 04 07 05 07 05 07 05 07 06 07 05 07 05 07 05 08 05 07 06 08 06 08 06 08 06 08 06 08 05 07 05 07 06 07 05 07 05 07 06 07 05 07 05 07 05 07 05 08 06 08 05 08 06 07 05 07 05 08 05 07 05 07 04 07 04 06 04 06 04 06 04 07 04 06 05 07 04 07 04 07 05 07 04 06 05 06 05 08 05 07 04 07 05 07 05 07 05 06 04 06 04 07 05 07 05 07 05 07 04 07 05 06 04 06 04 06 04 06 04 06 04 06 04 06 04 07 05 07 04 07 05 07 04 07 04 06 04 07 05 07 05 06 04 06 04 06 05 06 05 07 04 06 04 07 05 07 04 06 04 06 04 07 04 07 04 06 04 07 04 06 04 07 04 07 04 06 04 07 04 07 05 07 04 07 04 06 04 06 04 06 04 06 04 06 05 07 04 06 04 07 04 07 05 06 04 06 05 07 04 06 04 06 04 06 04 06 04 07 05 07 04 07 05 06 05 07 05 06 04 06 04 06 04 07 04 07 04 06 04 07 03 06 04 07 03 06 04 07 04 06 05 07 04 07 04 07 04 06 04 06 04 06 04 06 04 07 04 07 04 07 05 08 04 06 04 07 04 07 04 06 05 06 05 07 04 07 05 08 04 07 04 07 05 06 05 06 04 06 05 06 04 06 04 06 05 06 04 06 04 07 04 07 05 06 05 07 04 07 04 07 05 06 05 07 
4A 42 2B 25 1B 19 17 16 19 19 21 24 3A 44 63 64 55 4E 3B 34 2F 2F 32 31 37 37 43 48 52 58 56 53 3F 34 24 1F 19 18 16 15 18 18 1F 22 32 3B 57 62 69 5E 42 3B 32 2E 2D 2C 2F 30 31 33 3A 3E 49 4B 58 5A 58 51 39 31 24 1F 19 18 17 17 16 16 17 17 1B 1D 28 2B 41 4B 67 69 65 5B 43 3C 31 2D 2A 2B 2D 2D 2D 2B 2E 2D 33 33 3E 40 4A 4A 53 54 51 4F 3D 35 29 24 1C 19 17 16 15 15 13 14 13 14 14 15 18 17 1A 1D 23 25 2F 33 44 4A 5D 5F 63 5F 4F 4C 3A 37 2D 29 24 22 22 21 25 25 27 26 25 24 24 22 22 22 25 24 29 2B 2E 30 35 39 3D 3D 41 43 42 41 3C 3A 34 30 2B 29 23 22 1E 1B 19 18 14 15 14 12 13 12 12 11 11 10 0F 10 0F 0F 0E 0E 0F 0F 0E 0D 0F 0E 0E 0E 0E 0E 0F 0F 0F 0D 0F 0E 0E 0E 0F 0F 10 0F 0F 0E 10 0F 0F 0F 10 0F 0F 0F 0F 0F 0F 0E 0F 0F 0F 0E 0F 0D 0E 0E 0E 0F 0E 0D 0E 0E 0E 0C 0C 0C 0C 0C 0C 0B 0B 0C 0B 0C 0B 0B 0B 0A 0B 0A 0A 0A 0B 0A 0A 0A 0A 09 0A 0A 09 09 09 09 09 09 09 09 0A 09 09 09 09 08 09 08 09 08 08 08 08 08 08 08 09 08 08 07 08 08 08 07 08 07 07 08 08 07 08 08 09 07 08 07 09 08 09 07 08 08 08 08 08 07 09 08 08 08 08 08 08 08 09 08 09 08 08 08 08 08 09 07 08 08 08 08 09 07 08 08 08 07 08 07 09 08 08 08 08 07 09 08 08 08 08 07 08 08 08 07 08 08 08 07 07 07 07 07 07 07 07 07 08 07 08 06 08 07 07 08 08 07 08 08 08 07 08 07 07 07 08 07 09 07 08 07 08 07 07 07 08 07 08 07 08 07 07 06 08 07 07 07 07 07 07 07 07 07 07 07 08 07 08 07 07 07 07 07 08 07 07 06 07 07 07 08 08 07 08 07 07 07 07 07 07 07 07 07 07 07 08 07 07 07 07 07 07 06 07 07 07 07 07 07 08 06 07 07 07 06 07 07 07 07 08 07 07 06 08 08 08 07 07 06 07 08 07 06 07 08 08 07 08 07 07 06 07 07 07 06 08 07 08 07 08 07 07 07 07 07 07 06 07 06 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 08 07 07 07 06 07 08 07 07 07 07 07 07 07 07 06 06 07 07 07 08 06 08 06 07 07 07 07 07 07 08 07 08 07 08 07 07 07 07 07 07 07 07 07 08 07 08 07 08 07 08 07 07 07 07 07 08 07 07 07 08 07 08 07 08 07 07 07 08 07 07 07 07 06 08 07 07 07 07 07 08 07 08 07 
3B 34 20 1D 16 17 14 17 17 1C 27 2E 48 57 63 5F 42 3F 31 31 2D 30 2E 32 39 3D 44 4D 56 58 4C 47 2A 28 19 1A 14 16 14 17 17 1C 23 2A 40 4D 65 6D 51 4B 35 33 2A 2B 2B 2F 2C 30 31 37 40 43 50 54 57 58 43 40 28 26 19 1A 15 16 12 15 14 17 17 1B 1F 26 31 3C 53 5F 68 66 4C 45 31 32 2A 28 28 2B 29 2D 2C 2B 2D 31 36 3D 42 46 4E 54 53 52 43 3E 2A 29 1B 1D 15 17 13 14 11 13 10 13 12 15 14 16 18 1A 1D 21 28 31 3E 48 58 62 62 65 53 4E 39 37 2A 28 23 24 23 22 22 25 23 26 24 24 21 23 20 23 23 25 26 2B 2C 32 34 38 3A 3D 40 41 40 41 3A 38 2E 2D 26 26 20 21 19 1B 15 17 12 15 10 12 0F 11 0E 0F 0E 10 0D 0F 0C 0E 0B 10 0C 0E 0C 0F 0C 0E 0C 0F 0D 0E 0C 0F 0C 0F 0E 0F 0D 0E 0D 0E 0D 10 0D 10 0D 10 0E 10 0D 0F 0E 0F 0E 10 0E 10 0E 10 0D 0F 0D 0F 0D 0E 0C 0F 0C 0F 0D 0F 0B 0E 0A 0D 0C 0D 0B 0E 0A 0C 0A 0C 0A 0C 09 0B 09 0B 08 0A 08 0A 07 0A 08 09 07 0A 07 09 07 09 07 0A 06 08 07 08 06 08 06 08 06 08 05 08 06 08 06 08 05 08 05 07 05 07 05 07 05 07 05 08 05 07 05 07 05 06 05 07 05 08 05 07 05 07 05 07 05 07 05 08 05 07 05 07 05 07 05 08 06 07 05 08 05 08 05 07 05 07 06 07 05 07 06 07 05 07 05 07 05 08 05 08 05 07 05 07 05 08 05 07 05 07 05 07 05 08 04 07 06 07 05 07 05 07 04 07 04 07 05 07 05 07 05 06 04 07 04 06 05 07 05 07 05 07 04 07 04 07 05 07 05 07 05 07 04 07 05 06 05 06 04 06 05 06 05 07 04 06 04 06 04 06 05 06 04 06 04 06 04 06 04 07 05 07 05 07 05 07 05 07 04 07 04 07 04 05 04 07 04 06 04 06 04 06 04 06 04 06 03 06 04 06 04 07 04 07 04 07 04 07 04 06 04 06 05 06 04 06 04 07 04 06 04 07 04 07 04 07 04 06 07 06 05 06 04 06 04 06 04 06 04 07 04 07 04 06 04 07 04 06 04 06 04 06 05 06 04 07 04 06 04 06 04 06 05 06 05 07 04 07 04 06 04 06 04 06 05 08 03 07 04 07 05 06 05 06 05 08 04 07 04 06 05 07 04 06 05 07 04 06 04 06 05 07 04 06 05 07 04 06 04 06 05 07 04 06 04 06 04 06 04 06 04 06 04 06 04 06 05 06 04 06 04 07 05 07 04 07 04 08 04 07 04 06 05 06 04 07 05 06 04 06 04 06 04 07 05 07 04 07 04 06 04 06 05 06 
24 1F 1A 17 18 17 1A 1D 2A 2F 4E 56 63 5B 47 3F 35 33 30 31 35 36 3B 41 48 4B 57 59 4B 42 2B 26 1E 1C 18 17 17 18 1D 1E 2A 30 4C 56 6A 66 4D 47 37 35 2E 2D 2F 2E 33 33 39 3B 46 4B 55 58 5B 54 3F 38 27 22 1B 19 17 16 16 16 19 18 1D 1D 29 2D 46 4F 68 6B 5F 55 42 38 31 2C 2C 2B 2F 2D 30 2E 2F 2E 35 37 41 44 4E 4E 59 55 4E 44 35 2F 22 20 1B 19 16 16 15 14 16 14 15 15 18 17 1B 1C 21 23 2E 31 44 4C 60 65 65 61 54 4A 3B 36 2B 29 27 25 24 25 27 28 28 27 26 25 27 25 26 26 2A 2B 2F 32 38 3A 42 41 45 45 46 46 43 3D 39 34 2D 2B 27 22 1D 1B 1B 16 16 14 14 13 13 12 12 11 11 11 11 10 12 11 10 10 11 11 11 10 11 11 10 11 11 11 12 11 12 13 13 12 14 14 14 14 16 15 16 16 17 16 17 17 18 18 17 16 19 17 19 18 18 18 19 18 17 17 17 16 16 15 16 15 16 15 13 14 14 12 13 12 13 11 12 11 11 10 11 0F 10 0F 0F 0E 0F 0E 0E 0D 0E 0D 0D 0D 0D 0C 0C 0D 0C 0C 0C 0B 0B 0B 0B 0B 0C 0B 0C 0B 0A 0B 0A 09 0A 0A 0A 09 0A 09 0A 09 09 09 09 09 09 09 09 08 09 07 09 08 09 08 09 08 08 08 09 07 08 08 08 08 08 08 08 08 08 07 08 08 08 07 08 08 08 07 08 07 08 07 09 08 09 09 09 08 09 09 0A 08 08 08 09 08 09 08 08 08 08 08 08 09 08 08 09 09 08 08 09 07 08 08 08 08 08 08 08 08 09 08 09 07 08 07 08 07 08 07 08 07 08 07 08 07 08 07 07 07 08 07 08 07 08 07 08 08 07 08 08 07 08 08 08 08 08 08 08 07 08 08 08 07 08 07 07 07 08 07 08 07 09 07 08 07 07 07 08 07 07 07 07 07 07 07 07 07 08 07 08 07 08 07 08 08 07 07 07 08 08 07 08 07 08 07 08 07 08 07 08 07 08 08 07 07 07 07 07 07 08 07 07 07 08 07 08 07 08 07 08 08 08 07 08 06 07 07 07 08 08 07 07 07 08 07 08 07 08 07 07 07 07 07 08 07 08 07 07 07 08 07 07 07 08 07 08 07 07 07 08 07 07 07 07 07 07 07 08 07 08 07 08 07 07 07 07 08 08 07 07 07 07 07 08 07 08 07 07 07 08 08 09 07 07 07 07 07 08 07 07 07 08 08 08 07 07 07 08 08 08 07 08 07 08 07 08 07 08 07 07 08 08 07 07 07 08 07 08 08 07 07 08 07 08 08 08 07 07 07 07 07 07 06 07 07 07 07 08 07 07 07 08 07 08 07 08 08 08 08 08 08 08 07 07 07 08 07 07 07 
1C 1B 14 16 14 17 1C 20 34 40 5C 63 55 4F 39 36 2F 30 2D 31 32 38 41 41 4F 52 54 53 39 35 1F 20 18 18 14 17 16 18 1D 26 35 40 5E 68 5F 58 40 3B 2E 2F 2B 2D 2F 30 31 36 3C 41 4B 50 57 58 4B 47 2B 2A 1C 1D 15 16 13 15 14 14 17 19 21 24 32 3D 54 5E 66 65 47 42 32 30 29 2B 28 2B 2C 2C 2A 2E 2E 32 3D 40 47 4F 53 56 50 4E 3B 38 24 22 19 18 13 16 13 14 12 13 11 14 13 16 17 19 1B 22 28 2E 3E 46 5B 61 67 69 53 51 3C 38 2A 2A 24 23 23 25 24 26 24 29 24 26 23 25 23 26 2A 2E 2C 31 36 39 41 44 43 48 46 47 3F 3F 36 33 29 26 20 20 1A 1B 16 17 12 14 11 12 0F 11 0E 0F 0D 10 0E 10 0E 10 0E 0F 0E 11 0E 10 0E 11 0E 11 10 12 0E 13 11 13 12 14 12 15 13 16 14 17 16 1A 18 1A 18 1B 18 1B 18 1C 1B 1C 19 1B 19 1B 18 19 17 1A 15 19 16 18 15 16 13 16 13 15 11 14 10 14 10 11 0F 12 0F 10 0E 10 0D 0F 0C 0E 0C 0E 0C 0E 0A 0D 0A 0C 0A 0C 0A 0C 09 0C 09 0B 09 0A 08 0B 08 0B 09 0A 08 0A 08 0A 08 0A 08 09 07 0A 07 09 07 08 07 08 06 08 06 08 06 08 06 07 05 07 05 08 05 07 05 07 05 08 05 08 05 07 05 07 05 07 05 06 05 07 05 08 04 07 05 07 05 07 05 07 05 07 04 07 05 07 06 07 05 07 05 08 06 08 05 08 06 08 05 08 05 07 05 07 05 07 05 08 05 08 05 07 05 06 04 07 04 07 05 07 05 07 05 07 05 07 04 07 05 07 04 06 05 06 04 06 04 06 04 06 04 06 04 06 04 06 05 07 04 07 05 07 04 07 05 06 05 07 05 07 04 07 05 06 04 07 04 07 04 06 05 06 05 06 04 07 05 07 04 06 04 06 04 06 05 06 04 06 05 07 04 07 05 07 05 06 04 07 04 07 04 06 04 07 04 06 04 07 04 06 04 07 04 07 05 07 04 06 04 06 05 06 04 06 04 06 04 06 04 06 04 06 04 06 04 06 04 07 04 06 04 07 04 06 04 06 04 06 04 07 05 06 04 06 04 07 05 07 04 07 04 07 04 06 04 06 04 06 04 06 04 06 04 06 04 06 04 07 04 06 04 07 04 07 04 07 04 06 04 07 04 06 04 06 04 06 04 06 05 06 04 07 04 06 05 06 04 06 05 07 04 06 04 06 04 06 06 06 04 07 04 07 04 06 04 06 04 06 05 07 04 07 04 06 04 06 05 06 04 06 04 07 05 06 04 07 04 06 04 06 04 06 04 07 04 06 05 06 05 07 04 07 04 06 04 07 05 06 04 06 04 07 04 06 04 06 05 07 
19 17 18 17 1F 23 36 3F 5F 61 58 51 3F 39 33 30 33 33 35 3A 46 48 53 58 57 52 3D 31 24 21 19 18 17 18 1A 1C 24 27 3D 49 68 6C 5E 53 3E 3A 31 30 2E 2F 34 34 37 37 45 47 52 53 5A 5A 49 40 2B 26 1D 1A 17 16 16 17 19 19 1D 1E 28 2D 46 4D 66 6A 62 56 3F 39 30 2D 2D 2B 2F 2F 31 30 31 33 39 3C 48 49 55 55 5B 54 49 40 2E 28 1E 1D 19 17 16 15 17 15 16 14 18 17 1A 1A 1F 20 2B 30 40 46 5F 65 6D 6A 58 4F 40 38 2D 2B 26 26 24 25 29 27 2B 28 28 28 27 27 28 29 2E 30 35 39 41 41 49 4B 4E 4E 4D 46 3F 3B 32 2E 25 23 1D 1C 19 18 15 15 14 14 13 12 13 11 12 10 11 12 12 12 13 12 13 12 12 12 14 13 14 15 16 16 15 17 18 18 1A 1A 1C 1E 1E 21 23 21 23 22 24 26 27 25 28 27 27 26 27 24 24 24 24 20 22 21 20 1F 1D 1E 1C 1C 1B 1A 19 17 18 17 17 16 14 15 14 14 14 13 14 12 11 12 11 10 0F 11 10 10 10 0F 0F 0F 10 0E 0E 0D 0E 0D 0D 0D 0E 0C 0E 0C 0C 0D 0C 0C 0C 0C 0C 0B 0C 0B 0B 0B 0B 0A 0B 0B 0B 0A 0B 0B 0B 0A 0B 0B 0B 0A 0A 0A 0B 0A 0A 0A 0A 0A 09 0A 0B 09 09 09 09 09 09 08 09 08 08 08 08 08 08 08 08 08 08 07 08 07 08 07 08 08 08 07 08 08 08 08 08 07 08 08 08 08 08 08 09 0A 09 09 09 09 09 08 08 09 09 08 09 08 09 08 08 07 09 08 08 09 09 08 09 08 08 07 08 08 09 08 09 08 09 08 08 08 08 08 08 07 08 07 08 07 08 07 07 08 08 07 08 07 07 07 07 07 07 07 08 07 08 08 08 07 08 08 08 08 08 07 08 07 07 07 07 07 08 07 08 08 08 07 08 08 08 08 08 08 08 07 08 07 08 06 08 07 08 07 08 07 07 08 08 08 08 07 08 08 07 07 07 07 07 07 07 07 08 07 07 06 08 07 08 07 08 07 08 07 07 07 07 07 07 07 07 07 08 07 08 07 08 07 07 07 07 07 08 07 08 07 07 06 08 07 07 08 07 07 07 07 08 07 07 07 07 08 08 07 08 07 07 07 07 07 07 07 08 07 08 07 07 08 08 07 08 07 07 07 08 07 07 07 08 07 08 07 08 07 08 07 08 07 08 07 08 07 08 07 08 07 08 07 08 07 08 07 08 07 07 07 08 07 07 07 07 08 08 07 08 07 08 08 07 07 08 07 07 07 07 08 08 07 07 07 07 07 08 07 07 07 08 08 07 08 07 07 08 07 07 07 07 08 08 07 08 07 08 07 07 07 08 08 07 07 08 08 08 08 08 07 08 08 08 08 07 07 07 07 
14 16 16 19 20 2B 42 4E 63 63 47 44 33 34 2F 31 2E 33 39 3F 48 4B 53 56 4C 45 29 26 1B 1A 15 17 15 18 19 1F 29 31 4F 5C 67 62 48 42 34 33 2D 30 2E 30 31 35 38 3E 49 51 57 5B 52 4E 34 2E 20 1F 16 18 14 16 13 16 16 1A 1E 25 36 40 58 63 67 65 4B 43 33 31 29 2B 2B 2D 2D 31 2C 31 33 37 3C 45 4C 51 51 57 4B 49 33 2E 1F 1F 17 18 14 14 12 15 12 14 13 16 15 18 1B 21 25 2C 39 42 57 63 6C 6F 5D 5A 3D 39 2D 2C 23 26 23 25 26 28 26 29 27 2A 24 27 28 2A 2C 2E 35 38 3F 43 48 4C 4D 51 4A 49 3C 3B 2C 2D 22 23 1A 1A 16 18 13 14 11 13 0F 12 0F 11 0E 12 0E 11 0F 10 0F 12 10 11 10 12 11 14 13 15 13 17 16 17 18 1B 1A 1C 1E 21 20 23 24 26 27 29 26 2A 27 2A 27 29 26 28 25 28 23 25 21 22 1F 20 1B 1E 1A 1C 18 1B 17 18 16 17 12 16 13 14 12 13 10 13 0F 11 0E 11 0F 11 0E 10 0D 10 0D 0F 0D 0E 0C 0E 0B 0D 0C 0E 0A 0D 0B 0C 0A 0C 0A 0B 09 0C 09 0B 09 0B 0A 0B 08 0B 08 0A 08 09 08 0A 08 09 07 09 07 0A 07 0A 08 0A 07 09 09 09 07 09 08 09 07 09 06 09 07 09 06 08 07 08 05 08 06 08 05 07 05 07 05 08 04 08 05 07 05 07 05 07 05 07 05 07 05 07 05 07 04 07 05 06 05 08 05 06 05 08 05 07 05 08 05 07 06 08 06 08 06 07 05 08 05 08 05 07 05 07 05 07 05 07 05 08 06 07 05 07 05 07 06 07 06 07 05 07 05 07 04 07 04 07 04 07 05 07 04 07 05 07 05 07 05 07 05 07 04 07 05 07 05 07 05 07 04 07 05 07 04 07 05 06 05 06 05 07 04 06 04 07 04 07 06 06 04 06 05 07 04 07 04 06 05 07 05 07 04 06 04 07 05 07 04 07 04 07 05 07 05 06 05 07 04 07 04 06 05 08 05 06 05 08 05 06 04 06 04 06 04 06 04 06 04 07 05 07 04 07 04 07 05 07 04 07 04 07 05 07 05 07 04 07 05 07 04 07 05 08 04 06 04 07 04 06 04 07 04 06 04 06 04 07 04 06 04 07 04 07 04 06 04 07 04 06 04 06 04 07 04 06 04 06 05 07 04 07 05 07 04 07 04 07 05 06 05 07 05 07 04 06 04 07 04 06 05 06 04 07 04 06 04 06 04 07 05 07 04 07 04 07 04 06 05 07 04 06 04 06 04 07 05 06 04 07 04 07 04 06 04 06 05 07 05 07 04 07 05 06 04 06 04 06 04 07 05 07 04 07 04 07 04 06 05 07 04 07 04 07 05 07 04 07 05 07 04 06 
1A 1A 24 29 43 50 65 62 4B 44 35 34 32 30 33 34 3C 3F 4A 4D 5E 55 4E 44 2E 29 1D 1B 19 17 18 19 1C 20 2F 36 59 5E 68 64 48 41 35 33 31 30 32 32 35 35 3F 40 4D 53 5A 59 50 45 32 2B 21 1D 17 17 17 16 18 19 1B 1C 27 2C 42 49 6C 6E 63 55 43 3D 32 30 2D 2F 30 2F 2E 31 33 34 3B 3E 4A 4E 55 56 54 53 42 3D 2B 26 1D 1C 1A 17 16 15 15 13 16 16 19 19 1D 1E 26 2A 37 3D 59 5F 71 70 63 5E 46 3E 32 2D 2B 28 28 28 2A 2A 2C 2A 29 29 29 28 2D 2D 35 36 3C 3F 46 49 4F 51 53 51 4A 49 3A 36 2A 26 20 1F 1A 18 17 16 15 14 13 13 13 12 13 11 12 12 13 11 12 12 14 13 14 14 15 14 17 17 19 1C 1D 1D 20 24 26 26 2C 2B 30 31 34 33 35 33 34 32 35 32 2E 2E 2F 2B 28 25 24 22 1F 20 1F 1C 1C 1A 1A 17 18 17 17 16 16 14 15 14 14 13 14 13 14 12 13 12 12 11 13 11 12 11 12 11 11 11 11 10 11 10 10 10 10 0F 0F 10 0F 0E 0E 0E 0E 0E 0D 0D 0E 0C 0D 0C 0C 0B 0C 0C 0C 0C 0B 0B 0B 0A 0A 0B 0C 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 09 0A 0A 0A 0A 0A 0A 0A 09 09 0A 0A 09 0A 09 0A 09 0A 09 0A 0A 09 09 0A 09 09 08 08 09 08 07 08 08 09 08 08 08 08 08 07 07 08 07 08 07 08 07 08 07 08 08 08 07 08 07 09 07 08 07 07 07 08 07 08 08 09 08 08 08 08 07 08 08 07 08 08 08 08 08 08 08 08 08 09 07 08 07 09 07 08 08 08 07 08 07 08 08 08 07 08 07 08 07 08 07 07 07 07 07 07 07 08 07 08 07 08 07 08 07 07 07 08 08 07 07 08 07 08 07 08 07 08 07 08 07 07 07 08 07 08 07 07 07 08 07 08 07 08 07 07 07 07 07 06 07 07 07 08 06 08 07 07 07 07 08 07 07 07 07 08 07 07 07 08 06 07 07 07 07 07 07 07 07 08 07 07 07 07 06 08 07 07 07 08 07 07 07 07 07 07 06 07 07 08 07 07 06 07 07 08 07 08 07 07 07 07 07 07 07 07 08 07 06 07 06 07 07 07 07 07 06 07 07 08 07 07 06 07 07 08 08 07 07 08 07 07 07 07 06 07 07 07 07 07 07 07 07 07 06 07 07 07 06 08 06 08 06 08 07 07 08 07 07 07 07 07 07 08 08 07 07 08 07 08 07 07 07 07 07 08 07 08 07 07 06 08 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 08 08 07 07 07 07 07 07 07 07 08 07 08 06 07 06 07 07 08 07 07 07 07 07 08 07 07 07 08 07 08 07 08 07 
1A 1F 2C 38 54 5C 5A 54 3C 3C 31 32 2D 33 32 39 42 4A 4F 56 54 55 3B 35 22 20 18 18 16 17 17 1B 21 27 3B 4A 65 67 55 4F 3B 38 2F 30 2E 31 32 34 38 3E 43 48 54 59 58 57 3D 36 24 20 18 18 14 17 14 17 17 19 1E 23 30 3A 57 64 6C 68 48 46 33 32 2B 2D 2A 2D 2E 30 2D 32 36 3C 42 46 4F 56 55 57 4B 46 2E 2B 1D 1E 17 17 14 15 11 16 12 16 16 19 19 1E 20 25 31 39 4D 56 6C 6E 67 63 4A 46 33 30 27 2B 27 28 29 29 29 2C 28 29 27 2B 2A 2C 31 36 3A 3D 44 4A 51 54 53 55 49 47 38 35 28 27 1D 1E 17 18 14 14 12 13 10 12 0F 12 10 12 0F 13 0F 13 10 13 11 14 13 15 15 17 16 1B 18 1C 1E 20 22 26 29 2C 2E 31 32 37 34 39 35 39 33 37 30 33 2C 2D 26 28 22 23 1F 1F 1B 1D 18 19 15 18 15 17 14 15 14 15 13 15 13 15 11 13 12 13 11 14 11 15 11 13 11 12 11 11 10 12 10 12 0F 11 10 11 0D 10 0D 0F 0D 0F 0D 0F 0C 0D 0C 0E 0C 0E 0B 0D 0B 0D 0B 0D 0B 0C 0A 0C 0A 0B 09 0C 09 0B 08 0B 08 0B 07 0A 08 09 08 0A 07 09 07 0A 07 09 07 0A 07 09 07 09 07 09 07 08 07 0A 07 09 06 09 07 09 07 09 07 08 07 09 07 08 06 08 06 08 05 08 06 07 06 08 05 07 06 07 05 07 05 07 04 08 05 07 05 07 05 08 05 07 05 07 05 08 06 08 05 07 05 07 07 07 06 08 05 08 06 08 05 08 05 07 06 07 05 07 05 07 05 07 05 07 06 08 05 07 05 08 05 07 05 08 05 08 05 07 05 07 05 07 05 07 05 07 04 07 04 07 04 06 05 07 04 07 06 07 05 07 05 07 05 07 04 07 05 07 05 07 05 07 05 07 05 06 05 07 04 07 05 06 05 07 05 07 04 06 04 07 04 06 04 07 05 06 05 06 05 07 05 07 04 07 04 07 05 07 04 07 05 06 05 06 04 06 05 07 04 07 04 07 04 06 04 06 04 07 05 07 05 07 04 07 04 06 05 07 05 07 04 06 05 07 04 06 04 07 04 07 05 07 05 06 05 07 04 07 04 07 04 07 05 06 04 07 05 07 04 07 05 07 05 06 05 06 05 07 05 07 04 07 05 07 04 07 04 07 05 07 04 07 05 07 05 07 05 06 05 07 05 06 05 06 04 07 04 06 05 07 05 07 04 07 04 07 04 07 05 07 05 07 05 07 05 07 05 06 05 07 04 07 04 07 04 07 05 07 04 07 05 06 05 07 05 07 05 07 05 07 05 07 05 06 05 07 05 07 05 07 05 07 04 07 05 07 05 08 05 07 04 07 05 07 05 07 05 07 05 07 
